API Name,Provider Name,Logo,Web2 Docs,Airnode Docs,Contact,Description,About Provider,Category/Industry,Tags
Longtail Financial API,Longtail Financial,Longtail%20Financial.svg,N/A,,https://www.longtailfinancial.com/,Longtail Financial API gathers cryptocurrency investment insights,,Finance & Banking,"fintech, crypto, research, NFT"
LunarCRUSH API,LunarCRUSH,LunarCRUSH.svg,https://lunarcrush.com/developers/docs,,https://lunarcrush.com/developers/pricing,LunarCRUSH API allows you to integrate social metrics into your website to provide unique crypto insights to your users,,Media,"social media, crypto, sentiment"
Luxfi API,LuxFi,LuxFi.svg,N/A,,https://luxfi.io/home,Premium NFT backed luxury goods,,Other,"NFT, retail"
Mantheos API,Mantheos,Mantheos.svg,https://www.mantheos.com/api/v2/docs/,,https://www.mantheos.com/#contact-us,Mantheos API serves platforms for on-demand extraction of people and company data such as corporate social listening ,,Other,"social insight, corporate, social networks, data"
MarketCheck API,MarketCheck,MarketCheck.svg,https://apidocs.marketcheck.com/,,https://www.marketcheck.com/contact,Marketcheck API provides easy access to US and Canadian online vehicular listings and connected data sources from multiple verticals and domains.,,Hospitality & Transportation,"automotive, inventory"
Mars Translation API,Mars Translation,Mars-Translation.png,http://developer.marstranslation.com/api-documentation/#instruction-section,,https://www.marstranslation.com/contact,"Document translation, video translation, website translation + more",,Communications,"document, video, website, translations, advertising, automotive, marketing"
Mediastack API,Mediastack,,https://mediastack.com/documentation,,https://mediastack.com/contact,"Access structured and readable news data from 7,500+ sources from 50 Countries including news publishers and blogs, updated as often as every single minute.",,Media,
Meteostat API,Meteostat,Meteostat.svg,https://dev.meteostat.net/api/,,https://meteostat.net/en,The Meteostat JSON API provides simple access to a large archive of historical weather and climate data.,,Environmental,"weather, climate, data"
Meter API,Meter.io,Meter.svg,https://docs.meter.io/,,https://www.meter.io/blog,"Meter is DeFi infrastructure with a built-in, crypto-native, metastable currency, MTR.  It uses HotStuff based PoS consensus with MTRG (Meter Governance Token) to manage the blockchain ledger.  Meter functions as a highly-decentralized, high-performance side chain for Ethereum and other public chains.",,Finance & Banking,"defi, crypto"
Minerstat Coins API,minerstat,minerstat.svg,https://api.minerstat.com/docs-coins/documentation,,https://minerstat.com/,Minerstat offers powerful automated tools to save time and valuable analytics to improve the mining operations. By calling the main endpoint you can obtain data for all coins and multi pools that are available in the minerstat database.,,Finance & Banking,"crypto, pricing, exchange data"
N.Exchange API,N.Exchange,N.exchange.svg,https://nexchange2.docs.apiary.io/#,,https://n.exchange/,N.Exchange API provides exchange data and functions at low fees for existing platforms and white labels,,Finance & Banking,"crypto, exchange data, trading"
Cannabis Data API,Neobi,Neobi.svg,https://blog.neobi.io/tag/documentation,,https://neobi.io/#contact,"Canadian Cannabis Database that includes Products, Producers, Strains, Seeds, and Scientific Papers",,Agriculture,"cannabis, farming, pricing"
Forex API,NewChangeFX,NewChangeFX.svg,N/A,,https://newchangefx.com/contact-us/,"The Forex API gives users NCFX data and benchmarks that are created by aggregating live price feeds from multiple venues.They publish mid-rates in Spot, Forward, NDF and Crypto currencies and also provide continuous benchmarks in Spot and Forward currencies including interpolated dates and derive point in time benchmarks in Spot currencies for NAV calculations.",,Finance & Banking,"crypto, forex, pricing"
Precious Metals API,NFusionSolutions.com,Nfusionsolutions.com.svg,N/A,,https://nfusionsolutions.com/contact-us/,"Precious Metals API for Gold (XAU), Silver (XAG), Platinum (XPT), and Palladium (XPD) supports on-demand real-time spot prices along with price summary data, intraday tick, and historical closing prices for charting, all derived from Global Exchanges and Futures trading markets.",,Finance & Banking,"exchange data, precious metals, "
Novum Insights API,Novum Insights,Novum%20Insights.svg,N/A,,https://novuminsights.com/contact/,Novum Insights API enables users data-driven market analytics and dashboard to help you find the best Liquidity Pools and DeFi Token pairs,,Finance & Banking,"crypto, defi, "
Open Bank Project,Open Bank Project,Open%20Bank%20Project.svg,https://apiexplorersandbox.openbankproject.com/,https://gist.github.com/camronh/70f3356d54defd3dbebbac868ac73805,https://www.openbankproject.com/contact/,"Pioneering Open Banking concepts, standards and technology since 2010, Open Bank Project is the global standard and open source API solution for Open Banking. OBP has inspired and supports regional standards and frameworks such as UK Open Banking, STET and Berlin Group.",,Finance & Banking,"open banking, AML, banking, bankathon"
Crypto  API,OptionRoom,OptionRoom.svg,N/A,,https://www.optionroom.finance/,OptionRoom API allows users to create and participate in event derivatives that are pegged to real world outcomes by governance consensus.,,Finance & Banking,"crypto, prediction markets"
OpusData API,OpusData,OpusData.svg,https://www.opusdata.com/documentation/index.php/The_OpusData_API,,https://www.opusdata.com/home.php,"OpusData is the most in-depth collection of movie financial information, containing information on over 25,000 movies and counting, including budgets, US and international box office, US home market consumer sales and rentals, as well as biographical information on over 120,000 actors, directors, producers and technicians.",,Other,"finance, data"
PickPoint API,PickPoint,PickPoint.svg,https://pickpoint.ru/sales/api/,,https://pickpoint.ru/contacts/,PickPoint API gives users the ability to manage the delivery of their orders,,Supply Chain Management & Logistics,"shipping, upstream, downstream"
PWP Leeway,PWP Leeway,,https://leeway.tech/api-doc/general?lang=eng,https://gist.github.com/camronh/55286c02ef368a2581fa11dac54db68c,https://leeway.tech/kontakt,"PWP Leeway API provides access to comprehensive data from more than 50 exchanges worldwide. We offer fundamental data, i.e. annual and quarterly balance sheet data with up to 20 years of history, closing prices with up to 35 years of history, interval price data, ESG data and much more.",,Finance & Banking,"exchange data, pricing, capital markets, ESG data, bankathon"
CryptoQokka API,Qokka,Qokka.svg,https://cryptoqokka.com/developer/documentation,,https://qokka.ai/company#contact,Qokka API aggregates public social media data into cryptocurrency sentiments & analytics,,Finance & Banking,Embeddable Maps
Quadency Unified API,Quadency,Quadency.svg,https://quadency.com/developer/#quadency-unified-api,,https://mail.google.com/mail/u/0/?fs=1&tf=cm&source=mailto&to=info@quadency.com,"Get market data such as live and historical prices, trades and order books, fetch your connected accounts and related information, get latest balances, open and closed orders, and trade history, send/cancel orders, and more. ",,Finance & Banking,"exchange data, pricing, crypto"
Quantgo API,Quantgo,Quantgo.svg,N/A,,https://www.quantgo.com/contacts/,"QuantGo delivers historical tick, bar and end of day data on every exchange worldwide through their Data Partners. Other data includes news, calendar and events.",,Finance & Banking,"exchange data, pricing, capital markets"
Accounting Data as a Service,Railz,Railz.svg,https://docs.railz.ai/docs,,https://www.railz.ai/contact.html,"""Accounting Data as a Service"" API provides a single connection to all major accounting service providers.",,Finance & Banking,"accounting, finance"
Real Digital Asset Index API,RDA Index,RDA%20Index.svg,https://gist.github.com/rdaindex/68fe93e19644d83d3da76b218119b3ed,https://gist.github.com/rdaindex/e01cb50abe88cbf766ea8a53ef8b4819,https://rdaindex.com/contact-us,"The RDA Index data suite addresses the four challenges of intrinsic valuation, asset complexity, volatility and consumer protection that are facing the cryptoasset industry.",,Finance & Banking,"crypto, exchange data, bankathon"
Cities API,RoadGoat,RoadGoat.svg,https://developer.roadgoat.com/#introduction,,https://www.roadgoat.com/business/cities-api/contact-us,"The Cities API allows access to a comprehensive database about travel destinations - towns, cities, regions, states, countries, and continents.",,Geolocation Data,"geolocation, travel"
Rutter API,Rutter,Rutter.svg,https://docs.rutterapi.com/docs/api-overview,,https://www.rutterapi.com/,Rutter API provides a white-label connection flow that handles OAuth & merchant authentication for you.,,Supply Chain Management & Logistics,"retail, suppliers, ecommerce"
Sanction Scanner API,Sanction Scanner,Sanction%20Scanner.svg,http://developer.sanctionscanner.com/en/home-page,,https://sanctionscanner.com/contact,You can quickly integrate and perform AML queries by sending data to the detective services in JSON format and responding to service responses in JSON format.,,Finance & Banking,"AML, banking"
Sanctions.io API,sanctions.io,sanctions.io.svg,https://app.swaggerhub.com/apis-docs/Sanctions.IO/sanctions-io_api/,https://gist.github.com/camronh/b80b3b2aa87211f38ca48693d82740c8,https://sanctions.io/,"The sanctions.io API provides reliable and constantly updated data from global Sanctions, PEP and Crime Lists – ready to be built into your own solution.",,Government,"public sector data, legal, sanctions, law, bankathon"
SandCage API,SandCage,SandCage.svg,https://docs.sandcage.com/docs/0.2/index,,https://www.sandcage.com/,"Sandcage API enables users to process, store and deliver images",,Media,"image, storage, processing, NFT"
Criminal Background Check API,Searchbug,Searchbug.svg,https://www.searchbug.com/api/criminal-background-check.aspx,,https://www.searchbug.com/contact-us.aspx,The Criminal Background Check API gives users the ability to run background checks and access criminal records and the terror watch list.,,Finance & Banking,"KYC, AML, verification, legal, bankathon"
Email Verification API,Searchbug,Searchbug.svg,https://www.searchbug.com/api/email-zip.aspx,,https://www.searchbug.com/contact-us.aspx,The Email Verification API contacts MX (mail) server for the email domain is in the real time. The MX response indicates if messages sent to the provided address be accepted or not. INVALID status is a reliable indicator that the email will not be delivered,,Communications,"email, verification, bankathon"
Zip Code to Timezone API,Searchbug,Searchbug.svg,https://www.searchbug.com/api/email-zip.aspx,,https://www.searchbug.com/contact-us.aspx,The Zip Code to Timezone API enables you to add timezone to your customer list or database,,Communications,"verification, zip code, timezone, bankathon"
Zip In Radius API,Searchbug,Searchbug.svg,https://www.searchbug.com/api/email-zip.aspx,,https://www.searchbug.com/contact-us.aspx,"The Zip In Radius API allows users to know city, state, county, population, and number of businesses in a given zipcode or the distance between city centers.",,Communications,"zipcode, verification, bankathon"
Find Phone Number API,Searchbug,Searchbug.svg,https://www.searchbug.com/api/phone-name-address-email.aspx,,https://www.searchbug.com/contact-us.aspx,"The Find Phone Number API enables users home, business, or mobile phone numbers for people or businesses. This API also returns name(s) and address(es) associated with the number.",,Communications,"phone, verification, address, bankathon"
Find Name and Address API,Searchbug,Searchbug.svg,https://www.searchbug.com/api/phone-name-address-email.aspx,,https://www.searchbug.com/contact-us.aspx,"The Find Name and Address API allows you to find name and address for any person or business in US from phone number, email address, name and city/state, name and county/state, or just name and state. Business records typically include phone numbers as well.",,Communications,"address, verification, name, bankathon"
Find Email Address API,Searchbug,Searchbug.svg,https://www.searchbug.com/api/phone-name-address-email.aspx,,https://www.searchbug.com/contact-us.aspx,"The Find Email Address API allows you to get email address for consumers or businesses with this tool. Search by phone number, street address, name and address, name and city/state, name and state, or even just a name.",,Communications,"email, verification, bankathon"
Advanced Person Search API,Searchbug,Searchbug.svg,https://www.searchbug.com/api/phone-name-address-email.aspx,,https://www.searchbug.com/contact-us.aspx,The Advanced Person Search API utilizes sophisticated algorithms from various data partners to find the most up to date and complete contact records for people in US.,,Communications,"address, phone, verification, bankathon"
Verify SSN Owner API,Searchbug,Searchbug.svg,https://www.searchbug.com/api/ssn-verification.aspx,,https://www.searchbug.com/contact-us.aspx,The Verify SSN Owner API helps businesses determine if a SSN is valid and who it belongs to.,,Communications,"SSN, verification, bankathon"
Identify Phone Number (Advanced),Searchbug,Searchbug.svg,https://www.searchbug.com/api/identify-phone-number.aspx,,https://www.searchbug.com/contact-us.aspx,"The Identify Phone Number API reports the current carrier and line type increasing your ability to reduce fraud, form spam submissions, and to maximize TCPA compliance accuracy. Data is obtained in real-time with a Local Number Portability (LNP) check. This Advanced API provides 99.9% accuracy. If the number has been ported (moved to a new carrier), the API returns the new (current) carrier and line type.",,Communications,"verification, phone, bankathon"
Advanced LNP + DNC Check API,Searchbug,Searchbug.svg,https://www.searchbug.com/api/identify-phone-number.aspx,,https://www.searchbug.com/contact-us.aspx,"The Advanced LNP API reports the current carrier and line type using real-time Local Number Portability (LNP) check. This Advanced API provides 99.9% accuracy. If the number has been ported, the API returns the latest port date, the new carrier and line type.",,Communications,"phone, verification, bankathon"
Reachable Phone Number API,Searchbug,Searchbug.svg,https://www.searchbug.com/api/identify-phone-number.aspx,,https://www.searchbug.com/contact-us.aspx,"The Reachable Phone API uses sophisticated algorithms and multiple factors to indicate if number is reachable. If a number was activated or disconnected within a week or was not called in many months, its status may not be reported correctly. This service also shows if phone number is on the US Federal Do Not Call (DNC) list",,Communications,"phone, verification, bankathon"
Do Not Call List API,Searchbug,Searchbug.svg,https://www.searchbug.com/api/identify-phone-number.aspx,,https://www.searchbug.com/contact-us.aspx,The Do Not Call List API shows if phone number is on the US Federal Do Not Call (DNC) list.,,Communications,"phone, verification, bankathon"
Sensenet Headless CRM API,sensenet,sensenet.svg,https://docs.sensenet.com/,,https://www.sensenet.com/contact-us,"Sensenet offers you a rich API allowing you to manage, integrate and deliver content on all types of clients, devices and platforms",,Communications,"CMS, social media, content"
ShipsDNA API,ShipsDNA,ShipsDNA.svg,N/A,,https://www.shipsdna.com/contact,"ShipsDNA API data offerings include: vessel technical specification, ownership information, sales & purchase transactions, ship valuations, demolition records, voyage agreements, oil and bunker markets, upcoming drydocking & survey plus more",,Other,"maritime data, marine"
SimFin API,SimFin,SimFin.svg,https://simfin.com/api/v1/documentation/,,https://simfin.com/contact,SimFin API enables access to all company and share data as well as access to the stock screener,,Finance & Banking,"exchange data, capital markets"
SMS.to API,SMS.to,SMS.to.svg,https://docs.sms.to/api/#authentication,,https://sms.to/contact-us,"SMS.to API allows you to quickly send instant notifications for OTP, 2FA, Marketing and integration with your apps",,Communications,"SMS, 2FA, authentication, marketing"
Social Animal API,Social Animal,Social%20Animal.svg,https://api.socialanimal.com/api/doc/,,https://api.socialanimal.com/,"Social Animal API is designed to help you curate trending content, find influencers and measure popularity of specific URLs.",,Communications,"sentiment, social media, statistics, social networks"
Solipay API,Solipay,Solipay.png,N/A,,https://www.solipay.tech/,Solipay API enables users access to authorized location data from users who earn passive income by sharing personal data,,Other,"data, personal data, KYC, "
Food & Recipe API,Spoonacular,Spoonacular.svg,https://spoonacular.com/food-api/docs,,https://spoonacular.com/contact,"Spoonacular API allows you to search ingredients, recipes, grocery products, restaurants and more",,Other,"food & beverage, nutritional information, UPC, fitness, conversions"
Trusted Staking Data API,stakingrewards.com,Staking%20rewards.svg,https://api-beta.stakingrewards.com/docs,,https://www.stakingrewards.com/,Stakingrewards API allows users to track staking rewards along with other crypto-growth tools.,,Finance & Banking,"crypto, staking, bankathon"
Styvio Market Data API,Styvio,Styvio.svg,https://www.styvio.com/docs/,,https://www.styvio.com/,"The Styvio API provides access to stock market information such as company name, adress, description, business logo image, fundamentals, and pricing data.",,Finance & Banking,"capital markets, exchange data, pricing"
Swift Email Verifier,Swift Email Verifier,Swift%20Email%20Verifier.svg,https://www.webemailverifier.com/windowsclient.pdf,,https://webemailverifier.com/,Swift Email Verifier API is a real-time email validation API to reduce your email marketing complaints and bounces.,,Communications,"email verification, marketing"
Technical Analysis Indicators API,Taapi,Taapi.png,https://taapi.io/documentation/,,https://taapi.io/contact/,TAAPI.IO is a straightforward price data provider for fetching popular Technical Analysis (TA) Indicator Data.,,Finance & Banking,"Technical Analysis, TA, price data"
TelecomsXChange API,TelecomsXChange,TelecomsXChange.svg,https://documenter.getpostman.com/view/5344044/SVtbPk6K?version=latest,,,"TelecomsXChange API automates the core actions for telecom wholesale buying and selling, such as interconnection, carrier relations, market opportunity research, ticket escalation, communications, traffic routing control, ratings and reviews, financial settlements for Voice , SMS and Virtual Numbers.",,Communications,"voice, SMS, ratings"
Container Tracking API,Terminal 49,Terminal%2049.svg,https://developers.terminal49.com/docs/api,,https://www.terminal49.com/contact,"The Container Tracking API is a real-time shipment tracking API for  shipments and containers, direct from steamship lines and US Terminals.",,Supply Chain Management & Logistics,"shipping, suppliers"
The Tinify API,TinyPNG,TinyPNG.svg,https://tinypng.com/developers/reference,,https://tinypng.com/,"The Tinify API allows you to compress and optimize WebP, JPEG and PNG images.",,Media,"media, image compression, processing"
TokenTerminal API,TokenTerminal,TokenTerminal.svg,https://docs.tokenterminal.com/api,,https://www.tokenterminal.com/,"TokenTerminal API makes it easy to query fundamental metrics on projects listed on Token Terminal. Whether it be price or revenue data, all relevant metrics for valuing cryptoassets can be found under one uniformed interface.",,Finance & Banking,"crypto, exchange data"
List API,TowerData,TowerData.png,https://docs.towerdata.com/#introduction,,https://www.towerdata.com/contact-us,"Run files of up to 1,000,000 records through Email Validation, Email Intelligence, or Identity Matching.",,Communications,"Email verification, validation"
TrueWay Geocoding API,TrueWay Team,TrueWayAPI.svg,https://rapidapi.com/trueway/api/trueway-geocoding/details,, https://truewayapi.com/,"The Geocoding API is a service that provides forward and reverse geocoding of addresses. Forward geocoding is the process of converting address into geographic coordinates(latitude,longitude). Reverse geocoding is the process of converting geographic coordinates into a human-readable address.",,Geolocation Data,"Geocoding, Geolocation, Maps"
TrueWay Matrix API,TrueWay Team,TrueWayAPI.svg,https://rapidapi.com/trueway/api/trueway-matrix/details,, https://truewayapi.com/,The Matrix API calculates the distance and duration of the route between the origin and the destination on the road network.,,Geolocation Data,"Routing, Logistics, Transportation, Maps"
Twelve Data API,Twelve Data,Twelve%20Data.svg,https://twelvedata.com/docs#getting-started,https://gist.github.com/midasSSS/7e49c95024212d0e4f3e0a7c58f2b14f,https://twelvedata.com/contact,"The Twelve Data API enables access to world financial markets including stocks, forex, and cryptocurrencies. All data is available in real-time and historical formats. With Twelve Data API you can get information on time series and technical indicators in their databases.",,Finance & Banking,"crypto, capital markets, forex, bankathon"
Finchains API,Unification,Unification.svg,https://github.com/unification-com/finchains-v2,https://gist.github.com/camronh/a2f774ffcfdea7de97eaf3aedaf32eb2,https://unification.com/,Unification's Finchains API provides cryptocurrency exchange and price data,,Finance & Banking,"crypto, pricing, exchange data, bankathon"
Trust API,UTU Technologies,UTU%20Technologies.svg,https://docs.utu.io/,,https://utu.io/about-us/,The UTU protocol uses blockchain to reward trustworthy actors and ensure reviews and ratings can’t be manipulated. Their AI-based Trust API provides improved rating and review functionality and uses on- and off-chain data to deliver personalized recommendations for marketplace applications. ,,Finance & Banking,"crypto, trust, credit"
Creditworthiness API,UTU Technologies,UTU%20Technologies.svg,https://docs.utu.io/,,https://utu.io/about-us/,The UTU protocol uses blockchain to reward trustworthy actors and ensure reviews and ratings can’t be manipulated. Their Creditworthiness API  uses artificial intelligence and various datasets to increase the accuracy of creditworthiness assessments to facilitate undercollateralized loans and financial inclusion for both traditional and decentralized finance.,,Finance & Banking,"crypto, credit, trust"
Veriphone API,Veriphone,Veriphone.svg,https://veriphone.io/docs/v2,,https://veriphone.io/,Veriphone API allows users phone number validation & carrier lookup,,Communications,"phone, spam"
VIN Decoder API,VIN Decoder,VIN%20Decoder.svg,https://vindecoder.eu/api,,https://vindecoder.eu/contact-us,"VIN Decoder API allows you to get vehicle data in bulk including VIN decoder, VIN stolen check, and vehicle market value.",,Hospitality & Transportation,"automotive, security"
Crypto Index API,Vinter,Vinter.svg,https://vinterapi.com/,,https://vinter.co/contact,Vinter API gives you access to the different Vinter assets indexes.,,Finance & Banking,"crypto, pricing"
VPN & Proxy Detection API,VPNAPI.io,VPNAPI.io.svg,https://vpnapi.io/api-documentation,,https://vpnapi.io/contact,"VPN & Proxy Detection API allows you to test to see if an IP address is either a VPN, Proxy, or a TOR node",,Communications,"VPN, security, KYC, IP"
OnPoint API,Weather Source,Weather%20Source.svg,https://developer.weathersource.com/documentation/,,,"The OnPoint® API provides immediate access to all OnPoint Products including: Weather Data: Historical , Astronomical Data, Climatological Data, Geospatial products, Hazards, and more",,Environmental,"weather, weather events"
WHOIS API,whoisfreaks,whoisfreaks.svg,https://whoisfreaks.com/documentation/api/whois-api.html,,https://whoisfreaks.com/contact.html,"WHOIS Freaks API provides well-parsed and structured domain WHOIS data for all domain names, registrars, countries and TLDs since the birth of internet",,Other,"domain registration, whois, IP"
Widgety API,Widgety,Widgety.svg,http://developer.widgety.co.uk/,,https://widgety.org/contact/,"Widgety API gives cruise And Touring data With Detailed Itineraries, Pricing, Availability, Cruise Ships & Destination Content",,Hospitality & Transportation,"cruise ships, resorts, seasonal analytics"
Trip Planner API,Wikiroutes,Wikiroutes.svg,https://wikiroutes.info/en/developers,,https://wikiroutes.info/en/manual/about,Wikiroutes Trip Planner API gives access to a community sourced transportation database,,Geolocation Data,"geolocation, map"
Local Weather API,World Weather Online,World%20Weather%20Online.svg,https://www.worldweatheronline.com/developer/api/docs/,,https://www.worldweatheronline.com/developer/api/contact.aspx,"The Local Weather API (also called City and Town Weather API) method allows you to access current weather conditions, the next 14 days of accurate and reliable weather , Air Quality Data, Weather Alerts and Monthly Climate Averages for over 4 million cities and towns worldwide. The Local Weather API returns weather elements such as temperature, precipitation (rainfall), weather description, weather icon, wind speed, etc.",,Environmental,"weather, weather events, forecast, bankathon"
Local History API,World Weather Online,World%20Weather%20Online.svg,https://www.worldweatheronline.com/developer/api/docs/,,https://www.worldweatheronline.com/developer/api/contact.aspx,"The Local Historical or Past Weather API (also known as City and Town Historical Weather API) allows you to access weather conditions from 1st July 2008 up until the present time. The API returns weather elements such as temperature, precipitation (rainfall), weather description, weather icon and wind speed.",,Environmental,"weather, weather events, forecast, historical, bankathon"
Marine Weather API,World Weather Online,World%20Weather%20Online.svg,https://www.worldweatheronline.com/developer/api/docs/,,https://www.worldweatheronline.com/developer/api/contact.aspx,"The Premium Marine Weather API method allows you to access today's live marine/sailing weather  for a given longitude and latitude, as well as up to 7 days of . The Marine Weather API returns weather elements such as temperature, precipitation (rainfall), weather description, weather icon, wind speed, Tide data, significant wave height, swell height, swell direction and swell period.",,Environmental,"marine, sailing, weather, weather events, tide data, bankathon"
Marine History API,World Weather Online,World%20Weather%20Online.svg,https://www.worldweatheronline.com/developer/api/docs/,,https://www.worldweatheronline.com/developer/api/contact.aspx,"The Premium Historical Marine Weather API method allows you to access marine data since 1st Jan, 2015 for a given longitude and latitude, as well as tide data. The Historical Marine Weather API returns weather elements such as temperature, precipitation (rainfall), weather description, weather icon, wind speed, Tide data, significant wave height, swell height, swell direction and swell period.",,Environmental,"weather, weather events, historical, bankathon"
Ski Weather API,World Weather Online,World%20Weather%20Online.svg,https://www.worldweatheronline.com/developer/api/docs/,,https://www.worldweatheronline.com/developer/api/contact.aspx,"The Premium Ski and Mountain Weather API method allows you to access 7 day of accurate and reliable weather  for Top, Middle and Bottom Elevations. The Ski and Mountain Weather API returns weather elements for each Top, Middle and Bottom elevations such as Chance of snow, expected snow fall, freeze level, temperature, precipitation (rainfall), weather description, weather icon and wind speed and much more.",,Environmental,"weather, weather events, bankathon"
Search API,World Weather Online,World%20Weather%20Online.svg,https://www.worldweatheronline.com/developer/api/docs/,,https://www.worldweatheronline.com/developer/api/contact.aspx,"The Location search API method takes a query value and returns information about the location, including area name, country, latitude/longitude, population, and a URL for the weather information. Note that the Free API returns 30 results and the Premium API returns 100 results.",,Environmental,"weather, population, location data, geolocation, bankathon"
Astronomy API,World Weather Online,World%20Weather%20Online.svg,https://www.worldweatheronline.com/developer/api/docs/,,https://www.worldweatheronline.com/developer/api/contact.aspx,The Premium Astronomy and Lunar API method allows you to access astronomy information for any given date.,,Environmental,"astronomy, lunar, historical, bankathon"
Time Zone API,World Weather Online,World%20Weather%20Online.svg,https://www.worldweatheronline.com/developer/api/docs/,,https://www.worldweatheronline.com/developer/api/contact.aspx,The Time Zone API method retrieves current local time and UTC offset hour and minute for a specified location.,,Environmental,"time, conversion, UTC, bankathon"
Bulk API,World Weather Online,World%20Weather%20Online.svg,https://www.worldweatheronline.com/developer/api/docs/,,https://www.worldweatheronline.com/developer/api/contact.aspx,"To get data for multiple locations, you will have to make a POST request. Bulk access is enabled for local and marine weather API only.",,Environmental,"weather, weather events, marine, bankathon"
WxData Weather API,WxData,WxData.svg,N/A,,https://wxdata.com/support,"WXdata API provides data on Weather Observation, Daily Weather , Hourly Weather , Severe Weather Alerts, Geolocation, Storm Reports",,Environmental,"weather, weather events"
Ydentity API,Ydentity Organization,ydentity.svg,N/A,,info@ydentity.org,"Ydentity API allows you to request user’s performance for
underwriting loyalty and initiate affinity pooling to bring
mutuality to decentralized finance","Guarantees and protects the right of every natural person to obtain, own and use
alternative forms of identity document (Alt-ID) and data for identification",Finance & Banking,"Digital Identity, Risk Assessment, AI, Emotion Recognition, Neuroperformance Test, bankathon"
Zeliot API,Zeliot Connected Services,Zeliot%20Connected%20Services.svg,N/A,,https://zeliot.in/contact,"Zeliot is a device agnostic, sector agnostic platform for the management of IoT devices. This platform will be used by developers to create apps for IoT devices in Connected cars, Connected homes, Connected Industries and Personal IoT. ",,Hospitality & Transportation,"IOT, automotive, data, fleet management"
